Species	Common name	Name	StudbookID	ID2	Sex	Source	Geographic origin	Birth Origin 	Sequencing Center	Read Length	Sequenced Coverage	Sequenced Coverage PE	Sequenced Gbp	Comments	subspp	spp	sample_name
Gorilla beringei graueri	Eastern lowland gorilla	M'kubwa	9907	9732	M	Primary fibroblast	"DRC - Tulakwa, Northwest of Bukavu"	Wild born	WashU	100	18.93	18.9	56.79		eastern_gorilla	Gorilla	Gorilla_beringei_graueri-9732_Mkubwa
Gorilla beringei graueri	Eastern lowland gorilla	Kaisi 	9909	A929	M	Blood	"DRC - Walikale region, Nord-Kivu"	Wild born	CNAG	100/101	41.3	34.6	124		eastern_gorilla	Gorilla	Gorilla_beringei_graueri-A929_Kaisi
Gorilla beringei graueri	Eastern lowland gorilla	Victoria	9919	A967	F	Heparine blood	DRC 	Captive born	CNAG	53/100	36.7	36.7	110.2	1st Generation by 9908 and 9917	eastern_gorilla	Gorilla	Gorilla_beringei_graueri-Victoria
Gorilla gorilla diehli	Cross River gorilla	Nyango	9941	B646	F	Whole Blood	West Africa (Cameroon)	Wild born	CNAG	100	23.8	23.8	71.4		other	Gorilla	Gorilla_gorilla_dielhi-B646_Nyango
Gorilla gorilla gorilla	Western lowland gorilla	Kowali	663	9749	F	Blood		Captive born	WashU	100	20.39	20.4	61.17	Frank*Kumba(Kisoro*/Mumbi*)	western_gorilla	Gorilla	Gorilla_gorilla_gorilla-9749_Kowali
Gorilla gorilla gorilla	Western lowland gorilla	Bulera	1120	9751	F	Blood	Cameroon All	Captive born	WashU	100	20.52	20.5	61.56	Otto*/Benga(Kisoro*/Helen*)	western_gorilla	Gorilla	Gorilla_gorilla_gorilla-9751_Bulera
Gorilla gorilla gorilla	Western lowland gorilla	Azizi	1459	9750	M	Blood	"Cameroon (One parent from Victoria, Cameroon)"	Captive born	WashU	100	20.53	20.5	61.52	Memba*/Alvila(Albert*Vila*)	western_gorilla	Gorilla	Gorilla_gorilla_gorilla-9750_Azizi
Gorilla gorilla gorilla	Western lowland gorilla	Suzie	636	9752	F	Blood		Wild born	WashU	100	20.6	20.6	61.94		western_gorilla	Gorilla	Gorilla_gorilla_gorilla-9752_Suzie
Gorilla gorilla gorilla	Western lowland gorilla	Kokomo	1049	9753	F	Blood		Captive born	WashU	100	16.39	16.4	49.16	Parents: Moeba*/Kathryn*	western_gorilla	Gorilla	Gorilla_gorilla_gorilla-9753_Kokomo
Gorilla gorilla gorilla	Western lowland gorilla	Banjo 	255	A931	M	Blood	Cameroon	Wild born	CNAG	100	31.3	31.3	93.8		western_gorilla	Gorilla	Gorilla_gorilla_gorilla-A931_Banjo
Gorilla gorilla gorilla	Western lowland gorilla	Mimi 	241	A932	F	Blood	Cameroon	Wild born	CNAG	100/101	38.7	32.1	116		western_gorilla	Gorilla	Gorilla_gorilla_gorilla-A932_Mimi
Gorilla gorilla gorilla	Western lowland gorilla	Dian 	1091	A933	F	Blood	Cameroon	Captive born	CNAG	100	42.1	35.2	126.2	"1st Generation by 856 and 858, both Wild born Cameroon?"	western_gorilla	Gorilla	Gorilla_gorilla_gorilla-A933_Dian
Gorilla gorilla gorilla	Western lowland gorilla	Delphi 	230	A934	F	Blood	Congo	Wild born	CNAG	100	40.13	40.1	120.39	"Congo (could be both DRC and PRC, as Congo was one nation at that time)"	western_gorilla	Gorilla	Gorilla_gorilla_gorilla-A934_Delphi
Gorilla gorilla gorilla	Western lowland gorilla	Sandra 	969	A930	F	Blood	Cameroon	Captive born	CNAG	100	27.68	27.7	83.03	 1st Generation by 566 and 530 both wild born Cameroon	western_gorilla	Gorilla	Gorilla_gorilla_gorilla-A930_Sandra
Gorilla gorilla gorilla	Western lowland gorilla	Coco 	1351	A936	F	Blood	Equatorial Guinea	Wild born	CNAG	100	29.7	29.7	89.2	Equatorial Guinea. She was confiscated by Spanish customs when arriving from Equatorial Guinea.	western_gorilla	Gorilla	Gorilla_gorilla_gorilla-A936_Coco
Gorilla gorilla gorilla	Western lowland gorilla	Kolo  	936	A937	F	Blood	Cameroon	Captive born	CNAG	100	31	31	93	1st Generation by 562 and 595 both wild born Cameroon	western_gorilla	Gorilla	Gorilla_gorilla_gorilla-A937_Kolo
Gorilla gorilla gorilla	Western lowland gorilla	Amani 	899	A962	F	Blood	Captive born	Captive born	CNAG	100	39.2	39.2	117.6	1st Generation by 475 and 476	western_gorilla	Gorilla	Gorilla_gorilla_gorilla-A962_Amani
Gorilla gorilla gorilla	Western lowland gorilla	Abe	52	X00108	M		Unknown	Wild born	CNAG	100	21.18	21.2	63.55		western_gorilla	Gorilla	Gorilla_gorilla_gorilla-X00108_Abe
Gorilla gorilla gorilla	Western lowland gorilla	Tzambo	440	X00109	M		Unknown	Wild born	CNAG	100	22.46	22.5	67.39		western_gorilla	Gorilla	Gorilla_gorilla_gorilla-X00109_Tzambo
Gorilla gorilla gorilla	Western lowland gorilla	Akiba Beri	1926	B642	F	Whole Blood	Cameroon	Wild born	CNAG	100	22.8	22.8	68.3		western_gorilla	Gorilla	Gorilla_gorilla_gorilla-B642_Akiba_Beri
Gorilla gorilla gorilla	Western lowland gorilla	Choomba	180	B643	F	Whole Blood	West Africa	Wild born	CNAG	100	25.4	25.4	76.3		western_gorilla	Gorilla	Gorilla_gorilla_gorilla-B643_Choomba
Gorilla gorilla gorilla	Western lowland gorilla	Paki	191	B644	F	Whole Blood	West Africa	Wild born	CNAG	100	24.9	24.9	74.6		western_gorilla	Gorilla	Gorilla_gorilla_gorilla-B644_Paki
Gorilla gorilla gorilla	Western lowland gorilla	Anthal	1930	B647	F	Whole Blood	West Africa (Cameroon)	Wild born	CNAG	100	23.4	23.4	70.2		western_gorilla	Gorilla	Gorilla_gorilla_gorilla-B647_Anthal
