name	node	parent
humans	leaf.1	inner.18
central-chimp	leaf.2	inner.13
western-chimp	leaf.3	inner.12
eastern-chimp	leaf.4	inner.13
nigerian-chimp	leaf.5	inner.12
bonobo	leaf.6	inner.17
eastern-gorilla	leaf.7	inner.14
western-gorila	leaf.8	inner.14
bornean-orangutan	leaf.10	inner.15
sumatran-orangutan	leaf.11	inner.15
nigerian-western	inner.12	inner.16
eastern-central	inner.13	inner.16
gorilla	inner.14	inner.19
orangutans	inner.15	inner.20
chimps	inner.16	inner.17
pan	inner.17	inner.18
human-pan	inner.18	inner.19
african-apes	inner.19	inner.20
great-apes	inner.20	rheMac2
